t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
48.035,90,93,-5.699999809265137,1.9,0,0.2
48.055,90,93,-5.699999809265137,1.9,0,0.2
48.075,90,93,-5.699999809265137,1.9,0,0.2
48.095,90,92,16.200000762939453,1.9,0,0.2
48.115,90,92,-3.799999952316284,1.9,0,0.2
48.135,90,92.5,-4.75,1.9,0,0.2
48.155,90,93,-25.700000762939453,1.9,0,0.2
48.175,90,93,-5.699999809265137,1.9,0,0.2
48.195,90,92.5,-4.75,1.9,0,0.2
48.215,90,92.5,-4.75,1.9,0,0.2
48.235,90,93,-5.699999809265137,1.9,0,0.2
48.255,90,93,-5.699999809265137,1.9,0,0.2
48.275,90,93,-5.699999809265137,1.9,0,0.2
48.295,90,93,-5.699999809265137,1.9,0,0.2
48.315,90,93,-25.700000762939453,1.9,0,0.2
48.335,90,93,-5.699999809265137,1.9,0,0.2
48.355,90,93,-5.699999809265137,1.9,0,0.2
48.375,90,92.5,-4.75,1.9,0,0.2
48.395,90,92.5,-4.75,1.9,0,0.2
48.415,90,92.5,-4.75,1.9,0,0.2
48.435,90,92.5,-4.75,1.9,0,0.2
48.455,90,92.5,15.25,1.9,0,0.2
48.475,90,93,-5.699999809265137,1.9,0,0.2
48.495,90,92.5,-4.75,1.9,0,0.2
48.515,90,92,-3.799999952316284,1.9,0,0.2
48.535,90,93,-25.700000762939453,1.9,0,0.2
48.555,90,93,-5.699999809265137,1.9,0,0.2
48.575,90,93,-5.699999809265137,1.9,0,0.2
48.595,90,92.5,15.25,1.9,0,0.2
48.615,90,92.5,-4.75,1.9,0,0.2
48.635,90,92.5,-4.75,1.9,0,0.2
48.655,90,92,16.200000762939453,1.9,0,0.2
48.675,90,92.5,-4.75,1.9,0,0.2
48.695,90,93,-25.700000762939453,1.9,0,0.2
48.715,90,92.5,-4.75,1.9,0,0.2
48.735,90,92,-3.799999952316284,1.9,0,0.2
48.755,90,92,-3.799999952316284,1.9,0,0.2
48.775,90,92,-3.799999952316284,1.9,0,0.2
48.795,90,92,-3.799999952316284,1.9,0,0.2
48.815,90,92,-3.799999952316284,1.9,0,0.2
48.835,90,92.5,-4.75,1.9,0,0.2
48.855,90,92.5,-4.75,1.9,0,0.2
48.875,90,92,16.200000762939453,1.9,0,0.2
48.895,90,92,-3.799999952316284,1.9,0,0.2
48.915,90,92,-3.799999952316284,1.9,0,0.2
48.935,90,91.5,-2.8499999046325684,1.9,0,0.2
48.955,90,91.5,-2.8499999046325684,1.9,0,0.2
48.975,90,91,-1.899999976158142,1.9,0,0.2
48.995,90,91,-1.899999976158142,1.9,0,0.2
49.015,90,90.5,19.049999237060547,1.9,0,0.2
49.035,90,90,20,1.9,0,0.2
49.055,90,90.5,-0.949999988079071,1.9,0,0.2
49.075,90,90.5,-0.949999988079071,1.9,0,0.2
49.095,90,91,-1.899999976158142,1.9,0,0.2
49.115,90,91.5,-22.850000381469727,1.9,0,0.2
49.135,90,91.5,-2.8499999046325684,1.9,0,0.2
49.155,90,91.5,-2.8499999046325684,1.9,0,0.2
49.175,90,91.5,-2.8499999046325684,1.9,0,0.2
49.195,90,92,-3.799999952316284,1.9,0,0.2
49.215,90,92,-3.799999952316284,1.9,0,0.2
49.235,90,92,-23.799999237060547,1.9,0,0.2
49.255,90,92,-3.799999952316284,1.9,0,0.2
49.275,90,92,-3.799999952316284,1.9,0,0.2
49.295,90,92,-3.799999952316284,1.9,0,0.2
49.315,90,92,-3.799999952316284,1.9,0,0.2
49.335,90,92,-3.799999952316284,1.9,0,0.2
49.355,90,93,-5.699999809265137,1.9,0,0.2
49.375,90,93,-5.699999809265137,1.9,0,0.2
49.395,90,93.5,-6.650000095367432,1.9,0,0.2
49.415,90,93.5,-6.650000095367432,1.9,0,0.2
49.435,90,93.5,-6.650000095367432,1.9,0,0.2
49.455,90,94,-7.599999904632568,1.9,0,0.2
49.475,90,94,-7.599999904632568,1.9,0,0.2
49.495,90,94,-7.599999904632568,1.9,0,0.2
49.515,90,94,-7.599999904632568,1.9,0,0.2
49.535,90,94.5,-8.550000190734863,1.9,0,0.2
49.555,90,94.5,-8.550000190734863,1.9,0,0.2
49.575,90,94,-7.599999904632568,1.9,0,0.2
49.595,90,94,-7.599999904632568,1.9,0,0.2
49.615,90,94,-7.599999904632568,1.9,0,0.2
49.635,90,94,-7.599999904632568,1.9,0,0.2
49.655,90,94,-7.599999904632568,1.9,0,0.2
49.675,90,93.5,-6.650000095367432,1.9,0,0.2
49.695,90,93,-5.699999809265137,1.9,0,0.2
49.715,90,93,-5.699999809265137,1.9,0,0.2
49.735,90,93,-5.699999809265137,1.9,0,0.2
49.755,90,93,-5.699999809265137,1.9,0,0.2
49.775,90,93,-5.699999809265137,1.9,0,0.2
49.795,90,93.5,-26.649999618530273,1.9,0,0.2
49.815,90,93.5,-6.650000095367432,1.9,0,0.2
49.835,90,93,14.300000190734863,1.9,0,0.2
49.855,90,93,-5.699999809265137,1.9,0,0.2
49.875,90,93,-5.699999809265137,1.9,0,0.2
49.895,90,93,-5.699999809265137,1.9,0,0.2
49.915,90,93,-5.699999809265137,1.9,0,0.2
49.935,90,92.5,-4.75,1.9,0,0.2
49.955,90,92.5,-4.75,1.9,0,0.2
49.975,90,92,-3.799999952316284,1.9,0,0.2
49.995,90,92,-3.799999952316284,1.9,0,0.2
50.015,0,92,-44,1.9,0,0.2
50.035,0,92,-44,1.9,0,0.2
50.055,0,91,-44,1.9,0,0.2
50.075,0,88.5,-44,1.9,0,0.2
50.095,0,85.5,-44,1.9,0,0.2
50.115,0,82,-44,1.9,0,0.2
50.135,0,77.5,-44,1.9,0,0.2
50.155,0,72,-44,1.9,0,0.2
50.175,0,66,-44,1.9,0,0.2
50.195,0,59.5,-44,1.9,0,0.2
50.215,0,52.5,-39.75,1.9,0,0.2
50.235,0,45,-5.5,1.9,0,0.2
50.255,0,37,9.700004577636719,1.9,0,0.2
50.275,0,30,3,1.9,0,0.2
50.295,0,24,14.400001525878906,1.9,0,0.2
50.315,0,19.5,-17.049999237060547,1.9,0,0.2
50.335,0,16,9.600000381469727,1.9,0,0.2
50.355,0,13,-4.69999885559082,1.9,0,0.2
50.375,0,10,21,1.9,0,0.2
50.395,0,8,4.800000190734863,1.9,0,0.2
50.415,0,6,28.600000381469727,1.9,0,0.2
50.435,0,5,10.5,1.9,0,0.2
50.455,0,4,-7.599999904632568,1.9,0,0.2
50.475,0,3.5,-6.650000095367432,1.9,0,0.2
50.495,0,3.5,-6.650000095367432,1.9,0,0.2
50.515,0,3,14.300000190734863,1.9,0,0.2
50.535,0,3,-5.699999809265137,1.9,0,0.2
50.555,0,2,16.200000762939453,1.9,0,0.2
50.575,0,2,-3.799999952316284,1.9,0,0.2
50.595,0,2,-3.799999952316284,1.9,0,0.2
50.615,0,2,-3.799999952316284,1.9,0,0.2
50.635,0,3,-5.699999809265137,1.9,0,0.2
50.655,0,3.5,-6.650000095367432,1.9,0,0.2
50.675,0,3.5,-6.650000095367432,1.9,0,0.2
50.695,0,4,-7.599999904632568,1.9,0,0.2
50.715,0,3.5,-6.650000095367432,1.9,0,0.2
50.735,0,3.5,-6.650000095367432,1.9,0,0.2
50.755,0,3.5,-6.650000095367432,1.9,0,0.2
50.775,0,3.5,-6.650000095367432,1.9,0,0.2
50.795,0,3.5,-6.650000095367432,1.9,0,0.2
50.815,0,3.5,-6.650000095367432,1.9,0,0.2
50.835,0,3.5,-6.650000095367432,1.9,0,0.2
50.855,0,3.5,-6.650000095367432,1.9,0,0.2
50.875,0,3.5,-6.650000095367432,1.9,0,0.2
50.895,0,3.5,-6.650000095367432,1.9,0,0.2
50.915,0,3.5,-6.650000095367432,1.9,0,0.2
50.935,0,3.5,-6.650000095367432,1.9,0,0.2
50.955,0,3.5,-6.650000095367432,1.9,0,0.2
50.975,0,3.5,-6.650000095367432,1.9,0,0.2
50.995,0,3.5,-6.650000095367432,1.9,0,0.2
51.015,0,3.5,-6.650000095367432,1.9,0,0.2
51.035,0,4,-7.599999904632568,1.9,0,0.2
51.055,0,3.5,13.350000381469727,1.9,0,0.2
51.075,0,3,14.300000190734863,1.9,0,0.2
51.095,0,3,-5.699999809265137,1.9,0,0.2
51.115,0,2.5,15.25,1.9,0,0.2
51.135,0,2,-3.799999952316284,1.9,0,0.2
51.155,0,2.5,-24.75,1.9,0,0.2
51.175,0,3,-5.699999809265137,1.9,0,0.2
51.195,0,3.5,-6.650000095367432,1.9,0,0.2
51.215,0,3.5,-6.650000095367432,1.9,0,0.2
51.235,0,3.5,-6.650000095367432,1.9,0,0.2
51.255,0,3.5,-6.650000095367432,1.9,0,0.2
51.275,0,3.5,-6.650000095367432,1.9,0,0.2
51.295,0,4,-7.599999904632568,1.9,0,0.2
51.315,0,4,-7.599999904632568,1.9,0,0.2
51.335,0,4,-7.599999904632568,1.9,0,0.2
51.355,0,3.5,-6.650000095367432,1.9,0,0.2
51.375,0,3.5,-6.650000095367432,1.9,0,0.2
