t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
93.155,0,1.5,-2.8499999046325684,1.9,0,0.2
93.175,0,1.5,-2.8499999046325684,1.9,0,0.2
93.195,0,1.5,-2.8499999046325684,1.9,0,0.2
93.215,0,2,-3.799999952316284,1.9,0,0.2
93.235,0,2,-3.799999952316284,1.9,0,0.2
93.255,0,2,-3.799999952316284,1.9,0,0.2
93.275,0,2,-3.799999952316284,1.9,0,0.2
93.295,0,2.5,-24.75,1.9,0,0.2
93.315,0,3,-5.699999809265137,1.9,0,0.2
93.335,0,3,-5.699999809265137,1.9,0,0.2
93.355,0,3,-5.699999809265137,1.9,0,0.2
93.375,0,3,-5.699999809265137,1.9,0,0.2
93.395,0,2,-3.799999952316284,1.9,0,0.2
93.415,0,2,-3.799999952316284,1.9,0,0.2
93.435,0,2,-3.799999952316284,1.9,0,0.2
93.455,0,2,-3.799999952316284,1.9,0,0.2
93.475,0,2,-3.799999952316284,1.9,0,0.2
93.495,0,3,-5.699999809265137,1.9,0,0.2
93.515,0,3.5,-6.650000095367432,1.9,0,0.2
93.535,0,4,-27.600000381469727,1.9,0,0.2
93.555,0,4,-7.599999904632568,1.9,0,0.2
93.575,0,4,-7.599999904632568,1.9,0,0.2
93.595,0,4,-7.599999904632568,1.9,0,0.2
93.615,0,4,-7.599999904632568,1.9,0,0.2
93.635,0,4,-7.599999904632568,1.9,0,0.2
93.655,0,4,-7.599999904632568,1.9,0,0.2
93.675,0,3.5,13.350000381469727,1.9,0,0.2
93.695,0,3.5,-6.650000095367432,1.9,0,0.2
93.715,0,3.5,-6.650000095367432,1.9,0,0.2
93.735,0,4,-7.599999904632568,1.9,0,0.2
93.755,0,4,-7.599999904632568,1.9,0,0.2
93.775,0,4,-27.600000381469727,1.9,0,0.2
93.795,0,4,-7.599999904632568,1.9,0,0.2
93.815,0,4,-7.599999904632568,1.9,0,0.2
93.835,0,3.5,-6.650000095367432,1.9,0,0.2
93.855,0,3.5,-6.650000095367432,1.9,0,0.2
93.875,0,3.5,-6.650000095367432,1.9,0,0.2
93.895,0,4,-27.600000381469727,1.9,0,0.2
93.915,0,3.5,13.350000381469727,1.9,0,0.2
93.935,0,3.5,-6.650000095367432,1.9,0,0.2
93.955,0,3,-5.699999809265137,1.9,0,0.2
93.975,0,3,-5.699999809265137,1.9,0,0.2
93.995,0,3,-5.699999809265137,1.9,0,0.2
94.015,0,3,-5.699999809265137,1.9,0,0.2
94.035,0,3,-5.699999809265137,1.9,0,0.2
94.055,0,3,-5.699999809265137,1.9,0,0.2
94.075,0,3,-5.699999809265137,1.9,0,0.2
94.095,0,3,-5.699999809265137,1.9,0,0.2
94.115,0,3,-5.699999809265137,1.9,0,0.2
94.135,0,2.5,-4.75,1.9,0,0.2
94.155,0,2,-3.799999952316284,1.9,0,0.2
94.175,0,2,-3.799999952316284,1.9,0,0.2
94.195,0,2.5,-4.75,1.9,0,0.2
94.215,0,2.5,-4.75,1.9,0,0.2
94.235,0,3,-5.699999809265137,1.9,0,0.2
94.255,0,3,-5.699999809265137,1.9,0,0.2
94.275,0,3,-5.699999809265137,1.9,0,0.2
94.295,0,3,-5.699999809265137,1.9,0,0.2
94.315,0,3,-5.699999809265137,1.9,0,0.2
94.335,0,3,-5.699999809265137,1.9,0,0.2
94.355,0,3,-5.699999809265137,1.9,0,0.2
94.375,0,3.5,-6.650000095367432,1.9,0,0.2
94.395,0,3,-5.699999809265137,1.9,0,0.2
94.415,0,3,-5.699999809265137,1.9,0,0.2
94.435,0,3,-5.699999809265137,1.9,0,0.2
94.455,0,3,-5.699999809265137,1.9,0,0.2
94.475,0,3,-5.699999809265137,1.9,0,0.2
94.495,0,3,-5.699999809265137,1.9,0,0.2
94.515,0,3.5,-6.650000095367432,1.9,0,0.2
94.535,0,3.5,-6.650000095367432,1.9,0,0.2
94.555,0,4,-7.599999904632568,1.9,0,0.2
94.575,0,3.5,-6.650000095367432,1.9,0,0.2
94.595,0,3.5,-6.650000095367432,1.9,0,0.2
94.615,0,3.5,-6.650000095367432,1.9,0,0.2
94.635,0,3.5,-6.650000095367432,1.9,0,0.2
94.655,0,3.5,-6.650000095367432,1.9,0,0.2
94.675,0,3.5,-6.650000095367432,1.9,0,0.2
94.695,0,3.5,-6.650000095367432,1.9,0,0.2
94.715,0,4,-7.599999904632568,1.9,0,0.2
94.735,0,4,-7.599999904632568,1.9,0,0.2
94.755,0,4,-7.599999904632568,1.9,0,0.2
94.775,0,4,-7.599999904632568,1.9,0,0.2
94.795,0,3.5,-6.650000095367432,1.9,0,0.2
94.815,0,3,-5.699999809265137,1.9,0,0.2
94.835,0,2,16.200000762939453,1.9,0,0.2
94.855,0,2,-3.799999952316284,1.9,0,0.2
94.875,0,2,-3.799999952316284,1.9,0,0.2
94.895,0,2,-3.799999952316284,1.9,0,0.2
94.915,0,2,-3.799999952316284,1.9,0,0.2
94.935,0,2,-3.799999952316284,1.9,0,0.2
94.955,0,2,-3.799999952316284,1.9,0,0.2
94.975,0,2.5,-4.75,1.9,0,0.2
94.995,0,3,-5.699999809265137,1.9,0,0.2
95.015,0,3,-5.699999809265137,1.9,0,0.2
95.035,0,2.5,-4.75,1.9,0,0.2
95.055,0,2,-3.799999952316284,1.9,0,0.2
95.075,0,2,-3.799999952316284,1.9,0,0.2
95.095,0,2,-3.799999952316284,1.9,0,0.2
95.115,0,2,-3.799999952316284,1.9,0,0.2
95.135,0,2,-3.799999952316284,1.9,0,0.2
95.155,0,2,-3.799999952316284,1.9,0,0.2
95.175,0,2,-3.799999952316284,1.9,0,0.2
95.195,0,2,-3.799999952316284,1.9,0,0.2
95.215,0,2,-3.799999952316284,1.9,0,0.2
95.235,0,2,-3.799999952316284,1.9,0,0.2
95.255,0,2,-3.799999952316284,1.9,0,0.2
95.275,0,3,-5.699999809265137,1.9,0,0.2
95.295,0,3,-5.699999809265137,1.9,0,0.2
95.315,0,3,-5.699999809265137,1.9,0,0.2
